,precision,recall,f1-score,support
alt.atheism,0.7228070175438597,0.64576802507837,0.6821192052980133,319
comp.graphics,0.6118721461187214,0.6889460154241646,0.6481257557436517,389
comp.os.ms-windows.misc,0.650103519668737,0.7969543147208121,0.7160775370581528,394
comp.sys.ibm.pc.hardware,0.6901408450704225,0.625,0.6559571619812583,392
comp.sys.mac.hardware,0.7250608272506083,0.7740259740259741,0.7487437185929648,385
comp.windows.x,0.7581521739130435,0.7063291139240506,0.7313237221494102,395
misc.forsale,0.7183098591549296,0.9153846153846154,0.8049605411499436,390
rec.autos,0.7909319899244333,0.7929292929292929,0.7919293820933165,396
rec.motorcycles,0.8982630272952854,0.9095477386934674,0.9038701622971287,398
rec.sport.baseball,0.799554565701559,0.9042821158690176,0.8486997635933806,397
rec.sport.hockey,0.9,0.924812030075188,0.9122373300370827,399
sci.crypt,0.8708133971291866,0.9191919191919192,0.8943488943488943,396
sci.electronics,0.697986577181208,0.5292620865139949,0.6020260492040521,393
sci.med,0.8417721518987342,0.6717171717171717,0.7471910112359551,396
sci.space,0.8470873786407767,0.8857868020304569,0.8660049627791563,394
soc.religion.christian,0.6888888888888889,0.9346733668341709,0.7931769722814499,398
talk.politics.guns,0.6617336152219874,0.8598901098901099,0.7479091995221028,364
talk.politics.mideast,0.9642857142857143,0.7898936170212766,0.8684210526315789,376
talk.politics.misc,0.8248587570621468,0.47096774193548385,0.5995893223819302,310
talk.religion.misc,0.8404255319148937,0.3147410358565737,0.4579710144927537,251
macro avg,0.7751523991932567,0.7530051543558055,0.751034137943609,7532
weighted avg,0.7742682267777603,0.765400955921402,0.75908742505386,7532
